account_id,txn_date,amount_paise,direction,description,reference,counterparty
ACC-001,2026-05-31,-5088743,debit,Acme Corp Ltd payment,UTR196831611956,Acme Corp Ltd
ACC-001,2026-05-31,19300655,credit,Payment from Vertex Systems,UTR354342113419,Vertex Systems
ACC-001,2026-06-01,4123074,credit,Payment from Bluechip Industries,UTR407473554860,Bluechip Industries
ACC-001,2026-06-01,-1812624,debit,Apex Dynamics payment,UTR865189910212,Apex Dynamics
ACC-001,2026-06-02,15536315,credit,Payment from Synergy Solutions,UTR204710990461,Synergy Solutions
ACC-001,2026-06-02,-26242368,debit,Synergy Solutions payment,UTR150711229823,Synergy Solutions
ACC-001,2026-06-02,-24768424,debit,Metro Logistics payment,UTR781304820142,Metro Logistics
ACC-001,2026-06-02,67935120,credit,Payment from Crest Capital,UTR147543377362,Crest Capital
ACC-001,2026-06-02,8870278,credit,Payment from Quantum Supplies,UTR517045625552,Quantum Supplies
ACC-001,2026-06-03,-7424796,debit,Horizon Exports payment,UTR488136971784,Horizon Exports
ACC-001,2026-06-03,-3181023,debit,Zephyr Ltd payment,UTR287410804707,Zephyr Ltd
ACC-001,2026-06-03,-1175221,debit,Bluechip Industries payment,UTR397982492151,Bluechip Industries
ACC-001,2026-06-03,-5914758,debit,Quantum Supplies payment,UTR349348354829,Quantum Supplies
ACC-001,2026-06-04,28382699,credit,Payment from Apex Dynamics,UTR726820024292,Apex Dynamics
ACC-001,2026-06-04,5095857,credit,Payment from Metro Logistics,,Metro Logistics
ACC-001,2026-06-05,3686537,credit,Payment from Northwind Traders,UTR690821577339,Northwind Traders
ACC-001,2026-06-05,-1518039,debit,Prestige Estates payment,UTR658939878788,Prestige Estates
ACC-001,2026-06-05,19944713,credit,Payment from Horizon Exports,UTR267974663989,Horizon Exports
ACC-001,2026-06-05,5046649,credit,Payment from Quantum Supplies,UTR681830843906,Quantum Supplies
ACC-001,2026-06-05,-1475220,debit,Prestige Estates payment,,Prestige Estates
ACC-001,2026-06-06,-2983714,debit,Quantum Supplies payment,UTR476415064723,Quantum Supplies
ACC-001,2026-06-06,2581698,credit,Payment from BoltParts Pvt,UTR390853813771,BoltParts Pvt
ACC-001,2026-06-07,-8915594,debit,Bluechip Industries payment,UTR317363871943,Bluechip Industries
ACC-001,2026-06-07,4798579,credit,Payment from Northwind Traders,UTR958793742143,Northwind Traders
ACC-001,2026-06-07,-1950352,debit,Bluechip Industries payment,UTR438472520493,Bluechip Industries
ACC-001,2026-06-08,4451280,credit,Payment from Acme Corp Ltd,UTR190532572167,Acme Corp Ltd
ACC-001,2026-06-08,-23172914,debit,Metro Logistics payment,UTR822105942877,Metro Logistics
ACC-001,2026-06-08,-10194245,debit,Horizon Exports payment,UTR566461768998,Horizon Exports
ACC-001,2026-06-09,-2791569,debit,Bluechip Industries payment,UTR815849444665,Bluechip Industries
ACC-001,2026-06-09,1716665,credit,Payment from Synergy Solutions,UTR371102648727,Synergy Solutions
ACC-001,2026-06-09,45333831,credit,Payment from Zephyr Ltd,UTR177340295766,Zephyr Ltd
ACC-001,2026-06-10,12225393,credit,Payment from Zephyr Ltd,UTR178728590908,Zephyr Ltd
ACC-001,2026-06-10,6662296,credit,Payment from Bluechip Industries,UTR733812803930,Bluechip Industries
ACC-001,2026-06-11,-2726684,debit,Zephyr Ltd payment,,Zephyr Ltd
ACC-001,2026-06-11,5447373,credit,Payment from Zephyr Ltd,UTR902574067628,Zephyr Ltd
ACC-001,2026-06-11,-2277176,debit,Acme Corp Ltd payment,,Acme Corp Ltd
ACC-001,2026-06-11,7452288,credit,Payment from BoltParts Pvt,UTR306981303296,BoltParts Pvt
ACC-001,2026-06-11,1182715,credit,Payment from Bluechip Industries,UTR608002483225,Bluechip Industries
ACC-001,2026-06-12,-776572,debit,Crest Capital payment,UTR813181846360,Crest Capital
ACC-001,2026-06-12,-10021390,debit,Bluechip Industries payment,,Bluechip Industries
ACC-001,2026-06-12,-8919354,debit,Apex Dynamics payment,UTR280640463568,Apex Dynamics
ACC-001,2026-06-13,-13555223,debit,Acme Corp Ltd payment,UTR962361016774,Acme Corp Ltd
ACC-001,2026-06-13,5273233,credit,Payment from Horizon Exports,UTR888821730785,Horizon Exports
ACC-001,2026-06-13,1596341,credit,Payment from Horizon Exports,UTR164290117190,Horizon Exports
ACC-001,2026-06-13,-11179796,debit,Vertex Systems payment,UTR651803604970,Vertex Systems
ACC-001,2026-06-13,-6914655,debit,Crest Capital payment,UTR188080452706,Crest Capital
ACC-001,2026-06-14,-3588891,debit,BoltParts Pvt payment,UTR726594012825,BoltParts Pvt
ACC-001,2026-06-14,-2602553,debit,Zephyr Ltd payment,UTR559913616724,Zephyr Ltd
ACC-001,2026-06-14,-495175,debit,Quantum Supplies payment,UTR446673404045,Quantum Supplies
ACC-001,2026-06-15,6703645,credit,Payment from Prestige Estates,UTR603799651266,Prestige Estates
ACC-001,2026-06-15,-5670342,debit,Synergy Solutions payment,UTR177738827541,Synergy Solutions
