account_id,txn_date,value_date,amount_paise,direction,description,reference
ACC-001,2026-05-31,2026-05-31,-5088743,debit,NEFT ACME CORP,UTR196831611956
ACC-001,2026-05-31,2026-05-31,19300655,credit,VERTEX SYSTEMS LTD,UTR354342113419
ACC-001,2026-06-01,2026-06-01,4123074,credit,NEFT BLUECHIP,UTR407473554860
ACC-001,2026-06-01,2026-06-01,-1812624,debit,APEX DYN NEFT,UTR865189910212
ACC-001,2026-06-02,2026-06-02,15536315,credit,NEFT SYNERGY,UTR204710990461
ACC-001,2026-06-02,2026-06-02,-26242368,debit,SYNERGY SOLUTIONS,UTR150711229823
ACC-001,2026-06-02,2026-06-02,-24768424,debit,METRO LOGISTICS LTD,UTR781034820142
ACC-001,2026-06-02,2026-06-02,67935120,credit,NEFT CREST,UTR147543377362
ACC-001,2026-06-02,2026-06-02,8870278,credit,QUANTUM SUPPLIES,UTR517045625552
ACC-001,2026-06-03,2026-06-03,-7424796,debit,HORIZON EXPTS NEFT,UTR488136971784
ACC-001,2026-06-03,2026-06-03,-3181023,debit,NEFT ZEPHYR LTD,UTR287410804707
ACC-001,2026-06-03,2026-06-03,-1175221,debit,NEFT BLUECHIP,UTR397982492151
ACC-001,2026-06-03,2026-06-03,-5914758,debit,NEFT QUANTUM,UTR349348354829
ACC-001,2026-06-04,2026-06-04,28382699,credit,APEX DYN NEFT,UTR726820024292
ACC-001,2026-06-04,2026-06-04,5095857,credit,METRO LOG NEFT,
ACC-001,2026-06-05,2026-06-05,3686537,credit,NW TRADERS NEFT,UTR690821577339
ACC-001,2026-06-05,2026-06-05,-1518039,debit,PRESTIGE RENT,UTR658939878788
ACC-001,2026-06-05,2026-06-05,19944713,credit,HORIZON EXPORTS,UTR267974663989
ACC-001,2026-06-05,2026-06-05,5046649,credit,NEFT QUANTUM,UTR681830843906
ACC-001,2026-06-09,2026-06-09,-1475220,debit,PRESTIGE ESTATES,
ACC-001,2026-06-07,2026-06-07,-2983714,debit,NEFT QUANTUM,UTR476415064723
ACC-001,2026-06-06,2026-06-06,2581698,credit,BOLTPARTS PVT NEFT,UTR390853813771
ACC-001,2026-06-11,2026-06-11,-8915594,debit,BLUECHIP INDS,UTR317363871943
ACC-001,2026-06-07,2026-06-07,4798579,credit,NW TRADERS NEFT,UTR958793742143
ACC-001,2026-06-07,2026-06-07,-1950352,debit,BLUECHIP INDS,UTR438472520493
ACC-001,2026-06-08,2026-06-08,4451280,credit,ACME CORP NEFT,UTR190532572167
ACC-001,2026-06-08,2026-06-08,-23172914,debit,NEFT METRO,UTR822105942877
ACC-001,2026-06-08,2026-06-08,-10194245,debit,HORIZON EXPTS NEFT,UTR566461768998
ACC-001,2026-06-09,2026-06-09,-2791569,debit,BLUECHIP INDS,UTR815849444665
ACC-001,2026-06-09,2026-06-09,1716665,credit,SYNERGY SOLUTIONS,UTR371102648727
ACC-001,2026-06-09,2026-06-09,45333831,credit,ZEPHYR LTD NEFT,UTR177340295766
ACC-001,2026-06-10,2026-06-10,12225393,credit,NEFT ZEPHYR LTD,UTR178728590908
ACC-001,2026-06-10,2026-06-10,6662296,credit,NEFT BLUECHIP,UTR733812803930
ACC-001,2026-06-11,2026-06-11,-2726684,debit,ZEPHYR NEFT,
ACC-001,2026-06-11,2026-06-11,5447373,credit,ZEPHYR NEFT,UTR902574067628
ACC-001,2026-06-11,2026-06-11,-2277176,debit,ACME CORP LTD,
ACC-001,2026-06-11,2026-06-11,7452288,credit,BOLTPARTS PVT NEFT,UTR306981303296
ACC-001,2026-06-11,2026-06-11,1182715,credit,BLUECHIP IND NEFT,UTR608002483225
ACC-001,2026-06-17,2026-06-17,-776572,debit,CREST CAPITAL LTD,UTR813181846360
ACC-001,2026-06-12,2026-06-12,-10021390,debit,BLUECHIP IND NEFT,
ACC-001,2026-06-12,2026-06-12,-8919354,debit,APEX DYNAMICS PVT,UTR280640463568
ACC-001,2026-06-13,2026-06-13,-13555223,debit,ACME CORP NEFT,UTR962361016774
ACC-001,2026-06-13,2026-06-13,5273233,credit,NEFT HORIZON,UTR888821730785
ACC-001,2026-06-13,2026-06-13,1596341,credit,HORIZON EXPORTS,UTR164290117190
ACC-001,2026-06-13,2026-06-13,-11307133,debit,VERTEX SYS NEFT,UTR651803604970
ACC-001,2026-06-13,2026-06-13,-6914655,debit,CREST CAP NEFT,UTR188080452706
ACC-001,2026-06-14,2026-06-14,-2602553,debit,NEFT ZEPHYR LTD,UTR559913616724
ACC-001,2026-06-14,2026-06-14,-495175,debit,QUANTUM SUPPLIES,UTR446673404045
