account_id,txn_date,value_date,amount_paise,direction,description,reference
DEMO-ACCOUNT,2026-09-01,2026-09-01,4500000,credit,NEFT RAJESH KUMAR,UTR001
DEMO-ACCOUNT,2026-09-02,2026-09-02,2500000,debit,RENT PAYMENT PRESTIGE ESTATES,INV-RENT-01
DEMO-ACCOUNT,2026-09-03,2026-09-03,12000000,credit,NEFT ACME CORP LTD,UTR002
DEMO-ACCOUNT,2026-09-05,2026-09-05,1800000,debit,GST CHALLAN PAYMENT,CHALLAN-001
DEMO-ACCOUNT,2026-09-07,2026-09-07,875000,debit,NEFT BOLTPARTS PVT LTD,UTR003
DEMO-ACCOUNT,2026-09-05,2026-09-05,5000000,debit,NEFT GLOBAL TECH SUPPLIER,UTR004
DEMO-ACCOUNT,2026-09-04,2026-09-04,3200000,credit,NEFT VERTEX CUSTOMER,UTR005
DEMO-ACCOUNT,2026-09-07,2026-09-07,1500000,debit,IMPS LAKSHMI VENDORS,UTR006
DEMO-ACCOUNT,2026-09-04,2026-09-04,4485000,credit,NEFT NORTHWIND TRADERS,UTR007
DEMO-ACCOUNT,2026-09-06,2026-09-06,3185000,debit,NEFT ZEPHYR SYSTEMS,UTR008
DEMO-ACCOUNT,2026-09-08,2026-09-08,2000000,credit,PAYMENT RECEIVED ONLINE,
DEMO-ACCOUNT,2026-09-10,2026-09-10,800000,debit,MISC EXPENSE PAYMENT,
DEMO-ACCOUNT,2026-09-04,2026-09-04,50000,debit,MONTHLY ACCOUNT MAINTENANCE FEE,
DEMO-ACCOUNT,2026-09-07,2026-09-07,1200000,debit,ATM CASH WITHDRAWAL 001234,
DEMO-ACCOUNT,2026-09-10,2026-09-10,234000,credit,SAVINGS INTEREST CREDIT,
DEMO-ACCOUNT,2026-09-03,2026-09-03,3750000,credit,NEFT JOEL ENTERPRISES,UTR-JOEL-001
DEMO-ACCOUNT,2026-09-03,2026-09-03,3750000,credit,NEFT JOEL ENTERPRISES,UTR-JOEL-001
DEMO-ACCOUNT,2026-09-03,2026-09-03,3750000,credit,NEFT JOEL ENTERPRISES,UTR-JOEL-001
